2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 9: Código=SD17047, CX=48
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 10: Código=SD17176, CX=240
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 11: Código=SD18070, CX=96
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 12: Código=SD18074, CX=24
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 13: Código=SD18351, CX=192
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 14: Código=SD18553, CX=288
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 15: Código=SD18587, CX=144
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 16: Código=SD19164, CX=48
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 17: Código=SD20616, CX=48
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 18: Código=SD21388, CX=120
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 19: Código=SD21389, CX=144
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 20: Código=SD21412, CX=72
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 21: Código=SD23144, CX=36
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 22: Código=SD23151, CX=36
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 23: Código=SD23264, CX=48
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 24: Código=SD23463, CX=60
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 25: Código=SD23855, CX=24
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 26: Código=SD24098, CX=18
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 27: Código=SD24099, CX=36
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 28: Código=SD24100, CX=24
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 29: Código=SD24142, CX=24
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 30: Código=SD24143, CX=24
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 31: Código=SD24144, CX=24
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 32: Código=SD24145, CX=24
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 33: Código=SD24149, CX=48
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 34: Código=SD24158, CX=24
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 35: Código=SD24276, CX=48
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 36: Código=SD24281, CX=18
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 37: Código=SD24473, CX=240
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 38: Código=SD24491, CX=240
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 39: Código=SD24492, CX=192
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 40: Código=SD24494, CX=144
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 41: Código=SD24495, CX=240
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 42: Código=SD24644, CX=60
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 43: Código=SD24925, CX=72
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 44: Código=SD25491, CX=18
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 45: Código=SD25497, CX=18
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 46: Código=SD25508, CX=96
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 47: Código=SD25575, CX=36
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 48: Código=SD25587, CX=48
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 49: Código=SD25595, CX=8
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 50: Código=SD25600, CX=8
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 51: Código=SD25601, CX=12
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 52: Código=SD25602, CX=8
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 53: Código=SD25622, CX=36
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 54: Código=SD25798, CX=36
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 55: Código=SD5169, CX=360
2024-11-12 16:58:07 | 192.168.122.52 | master | Processada linha 56: Código=SD910, CX=48
2024-11-12 16:58:07 | 192.168.122.52 | master | Total de itens processados: 55
2024-11-12 16:58:07 | 192.168.122.52 | master | Container TYUN 1258569 8 registrado por Master Masters
2024-11-12 16:58:07 | 192.168.122.52 | master | Container TYUN 1258569 8 registrado com sucesso
2024-11-12 17:01:42 | 192.168.122.52 | master | Iniciando processamento da planilha
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 2: Código=Código, CX=CX
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 3: Código=SD22785, CX=24
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 4: Código=SD23938, CX=18
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 5: Código=SD25495, CX=12
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 6: Código=SD25315, CX=12
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 7: Código=SD21508, CX=18
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 8: Código=SD23072, CX=24
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 9: Código=SD24797, CX=18
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 10: Código=SD18525, CX=36
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 11: Código=SD25344, CX=192
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 12: Código=SD25345, CX=192
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 13: Código=SD23456, CX=48
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 14: Código=SD24474, CX=240
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 15: Código=SD23462, CX=192
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 16: Código=SD24693, CX=24
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 17: Código=SD23185, CX=18
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 18: Código=SD24549, CX=12
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 19: Código=SD21128, CX=4
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 20: Código=SD25051, CX=24
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 21: Código=SD24361, CX=12
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 22: Código=SD24367, CX=12
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 23: Código=SD24615, CX=6
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 24: Código=SD12626, CX=6
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 25: Código=SD18788, CX=24
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 26: Código=SD16120, CX=24
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 27: Código=SD20616, CX=48
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 28: Código=SD21315, CX=48
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 29: Código=SD22258, CX=48
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 30: Código=SD24556, CX=96
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 31: Código=SD21177, CX=96
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 32: Código=SD24662, CX=48
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 33: Código=SD10887, CX=48
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 34: Código=SD17420, CX=144
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 35: Código=SD24710, CX=60
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 36: Código=SD24895, CX=36
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 37: Código=SD19132, CX=48
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 38: Código=SD24813, CX=72
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 39: Código=SD24497, CX=48
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 40: Código=SD24591, CX=64
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 41: Código=SD18976, CX=120
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 42: Código=SD20678, CX=24
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 43: Código=SD24481, CX=12
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 44: Código=SD24663, CX=12
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 45: Código=SD24664, CX=18
2024-11-12 17:01:42 | 192.168.122.52 | master | Processada linha 46: Código=SD999, CX=144
